Date, Symbol, Series, Open, High, Low,AdjClose , Close, Quantity, TurnoverInLacks
01-Jan-21, SBIN, EQ,274.9,280,274.4,279.05,279.4,24531791,68279.68
31-Dec-20, SBIN, EQ,275,277.25,272.6,274.4,274.95,29467966,81121.61
30-Dec-20, SBIN, EQ,278,278.7,272.5,275.5,276.9,30971894,85316.81
29-Dec-20, SBIN, EQ,276.3,279.9,274.7,277.75,277.9,45032526,124992.51
28-Dec-20, SBIN, EQ,268.75,276,268,275.75,275.2,36870242,100373.67
24-Dec-20, SBIN, EQ,265,268.85,264.65,266.85,266.85,28585509,76328.21
23-Dec-20, SBIN, EQ,256.95,263.9,255.6,263,263,29056404,75879.15
22-Dec-20, SBIN, EQ,254.8,258.7,248.25,257.15,257.45,51189571,130122.82
21-Dec-20, SBIN, EQ,268.45,269,251.05,254.1,254.7,55160758,143588.85
18-Dec-20, SBIN, EQ,267.7,271.95,265,271.35,271.45,29816205,79997.18
17-Dec-20, SBIN, EQ,270,272.15,266.7,267.35,267.7,25904699,69733.1
16-Dec-20, SBIN, EQ,272.8,273.65,268.5,269.35,269.4,24844177,67222.76
15-Dec-20, SBIN, EQ,274.05,274.05,268.15,270.55,270.65,34890948,94345.99
14-Dec-20, SBIN, EQ,274,276.15,272.35,274.25,274.2,31946501,87753.17
11-Dec-20, SBIN, EQ,270.05,276.25,270.05,272.5,272.45,50255223,137209.53
10-Dec-20, SBIN, EQ,269,271,265.55,270,269.55,38676657,103620.14
09-Dec-20, SBIN, EQ,272.1,274.9,269.2,270.25,270.35,48495641,131854.24
08-Dec-20, SBIN, EQ,270.95,273.7,265.25,270.75,271.9,65617502,177115.5
07-Dec-20, SBIN, EQ,263.8,271.45,263,269.5,269.6,76053084,203316.17
04-Dec-20, SBIN, EQ,257,264.35,253.55,264.05,263.5,79252024,205408.75
03-Dec-20, SBIN, EQ,249.3,259,248,256.4,256.3,79266442,202247.23
02-Dec-20, SBIN, EQ,248.35,250.85,244.1,246.55,246.95,56723083,140529.38
01-Dec-20, SBIN, EQ,245,248.95,244.25,247.65,248.05,37003272,91242.77
27-Nov-20, SBIN, EQ,245.45,246.25,242.05,244.2,244.25,54355703,132548.84
26-Nov-20, SBIN, EQ,244,246.25,240.15,245.75,245.45,64248318,156300.55
25-Nov-20, SBIN, EQ,245.45,249.9,241.6,243,243,74767232,183993.28
24-Nov-20, SBIN, EQ,240.5,245,239.5,244.4,243.85,47636611,115238.91
23-Nov-20, SBIN, EQ,243.5,246.15,238.1,238.6,238.7,57538324,138529.48
20-Nov-20, SBIN, EQ,241.5,245.4,233.95,242,242.75,84411129,202494.13
19-Nov-20, SBIN, EQ,248,251.8,239,239.5,239.75,82284278,202276.03
18-Nov-20, SBIN, EQ,239.4,253,237.9,252.6,252,104514060,257559.62
17-Nov-20, SBIN, EQ,231.85,241.6,231,241.35,240.2,80501583,190981.09
14-Nov-20, SBIN, EQ,232,232.9,227.75,228.05,229.65,7753219,17908.15
13-Nov-20, SBIN, EQ,225,230.65,220.1,230.6,229.45,70676525,159135.08
12-Nov-20, SBIN, EQ,233.2,233.35,225.65,227.05,226.8,58859905,134839.05
11-Nov-20, SBIN, EQ,232.75,239.35,227.75,234.5,234.2,107094861,250849.21
10-Nov-20, SBIN, EQ,223.1,235,223,232,231.7,135294550,310228.16
09-Nov-20, SBIN, EQ,222.5,222.65,217.05,219.6,219.5,60359458,132364.57
06-Nov-20, SBIN, EQ,219,221.85,217.05,218.1,219.2,73147085,160301.27
05-Nov-20, SBIN, EQ,216,221,214.75,218.5,218.65,138023646,301342.65
04-Nov-20, SBIN, EQ,203.5,209,198.05,205.5,207,117577856,240188.37
03-Nov-20, SBIN, EQ,198,205.8,197.6,204.35,204.75,69890201,141445.62
02-Nov-20, SBIN, EQ,192.2,197.25,190.05,196,196.05,52600119,102126.08
30-Oct-20, SBIN, EQ,189.35,192,186.15,189.9,189.25,41520135,78517.36
29-Oct-20, SBIN, EQ,189.35,190.7,185.9,189.3,188.7,44823105,84341.62
28-Oct-20, SBIN, EQ,195,195,189.05,190.5,190.45,46462213,88992.59
27-Oct-20, SBIN, EQ,197.25,197.55,192.25,194.45,194.65,37802664,73701.07
26-Oct-20, SBIN, EQ,202.7,204,195.6,197,196.7,45471498,90637.9
23-Oct-20, SBIN, EQ,204,205.6,201.55,202.45,202.8,32708098,66461.86
22-Oct-20, SBIN, EQ,201.9,204.6,201.1,203.6,203.3,33721761,68490.09
21-Oct-20, SBIN, EQ,204.7,207.3,198.85,204,203.75,54516482,111259.17
20-Oct-20, SBIN, EQ,201,204.35,200.7,202.95,203.05,39317197,79709.75
19-Oct-20, SBIN, EQ,196.2,204.6,196.05,204,204,60223657,121439.71
16-Oct-20, SBIN, EQ,194,196.75,191.6,195.7,195.95,36894938,71829.54
15-Oct-20, SBIN, EQ,201,202.5,192,192.8,192.85,49184944,97246.8
14-Oct-20, SBIN, EQ,194.05,200.9,193.05,199.1,200.05,40550062,79677.42
13-Oct-20, SBIN, EQ,198.65,200,195.1,195.5,195.7,34949604,68928.65
12-Oct-20, SBIN, EQ,199.7,205.95,197.25,199,198.7,69125880,139176.38
09-Oct-20, SBIN, EQ,192,198.8,190.55,198.55,198.3,64908374,126775.74
08-Oct-20, SBIN, EQ,191.35,195.8,190.55,191.6,191.5,43351954,83846.55
07-Oct-20, SBIN, EQ,192.55,193.15,189.1,190.95,190.7,34578821,66030.11
06-Oct-20, SBIN, EQ,191.1,192.1,188.3,191.7,191.6,31098807,59155.42
05-Oct-20, SBIN, EQ,192,193.8,187.05,189.45,188.75,41694812,79382.96
